id,province,category,score_category,hotel,score_hotel
351,Quito,Location,9.2,Boutique Hotel Antinea,8.9
352,Quito,Free WiFi,8.6,Boutique Hotel Antinea,8.9
353,Quito,Staff,9.0,Hotel Bellavista Quito,8.1
354,Quito,Facilities,8.0,Hotel Bellavista Quito,8.1
355,Quito,Cleanliness,8.5,Hotel Bellavista Quito,8.1
356,Quito,Comfort,8.4,Hotel Bellavista Quito,8.1
357,Quito,Value for money,8.2,Hotel Bellavista Quito,8.1
358,Quito,Location,8.6,Hotel Bellavista Quito,8.1
359,Quito,Free WiFi,8.7,Hotel Bellavista Quito,8.1
360,Quito,Staff,9.1,Hotel Bernys Estrellita,7.7
361,Quito,Facilities,7.8,Hotel Bernys Estrellita,7.7
362,Quito,Cleanliness,8.4,Hotel Bernys Estrellita,7.7
363,Quito,Comfort,8.0,Hotel Bernys Estrellita,7.7
364,Quito,Value for money,8.5,Hotel Bernys Estrellita,7.7
365,Quito,Location,8.2,Hotel Bernys Estrellita,7.7
366,Quito,Free WiFi,5.8,Hotel Bernys Estrellita,7.7
367,Quito,Staff,9.3,Wyndham Garden Quito,9.0
368,Quito,Facilities,8.9,Wyndham Garden Quito,9.0
369,Quito,Cleanliness,9.3,Wyndham Garden Quito,9.0
370,Quito,Comfort,9.3,Wyndham Garden Quito,9.0
371,Quito,Value for money,8.8,Wyndham Garden Quito,9.0
372,Quito,Location,9.4,Wyndham Garden Quito,9.0
373,Quito,Free WiFi,8.9,Wyndham Garden Quito,9.0
374,Quito,Staff,9.8,Posada Tambuca,9.4
375,Quito,Facilities,9.2,Posada Tambuca,9.4
376,Quito,Cleanliness,9.5,Posada Tambuca,9.4
377,Quito,Comfort,9.3,Posada Tambuca,9.4
378,Quito,Value for money,9.5,Posada Tambuca,9.4
379,Quito,Location,9.3,Posada Tambuca,9.4
380,Quito,Free WiFi,9.6,Posada Tambuca,9.4
381,Quito,Staff,9.4,Hostal Yumbo Imperial,8.4
